Levi's 501 jeans, 22000, 32, Medium Blue
Nike Air Max 270, 45000, 44, Black/White
Zara cropped sweater, 12000, S, Cream
Tommy Hilfiger polo shirt, 9000, M, Red
Ralph Lauren sports jacket, 28000, L, Charcoal
Reebok workout shorts, 6000, M, Black
Gucci leather belt, 25000, One Size, Brown
H&M striped t-shirt, 7000, M, Navy/White
Vans Old Skool sneakers, 30000, 43, Navy/White
Patagonia fleece jacket, 20000, M, Green
Columbia winter coat, 45000, L, Black
Calvin Klein jeans, 24000, 34, Dark Blue
Levi's hoodie, 15000, M, Gray
The North Face beanie, 3500, One Size, Blue
Nike gym shorts, 7000, L, Gray
Zara blouse, 11000, S, White
Tommy Hilfiger trench coat, 32000, M, Beige
Reebok running shorts, 5500, L, Gray
Ralph Lauren short-sleeve shirt, 14000, S, Light Pink
Vans low-top sneakers, 29000, 42, Black/White
Adidas zip-up hoodie, 18000, M, Black
Gucci loafers, 35000, 43, Black Leather
Patagonia rain jacket, 22000, L, Red
Columbia fleece vest, 15000, M, Navy
Nike tank top, 6000, M, White
Zara pleated skirt, 9500, M, Black
Reebok mesh shorts, 7000, L, Blue
Ralph Lauren wool sweater, 16000, L, Gray
Tommy Hilfiger sneakers, 25000, 42, Blue
Vans slip-on loafers, 31000, 44, Checkerboard
Abercrombie & Fitch bomber jacket, 25000, M, Burgundy
Reebok Zig Kinetica sneakers, 37000, 43, Gray/Black
H&M puffer vest, 14000, S, Navy
Ralph Lauren casual shirt, 11000, M, Light Green
The North Face fleece jacket, 19000, L, Black
Nike SB Dunk sneakers, 46000, 42, Purple/Gold
Zara silk blouse, 16000, M, Light Blue
Vans Authentic sneakers, 28000, 41, Green
Adidas Originals hoodie, 20000, L, Red
Calvin Klein joggers, 13000, M, Charcoal
Levi's cropped top, 12000, S, Black
Tommy Hilfiger sneakers, 27000, 44, White
Gucci bucket bag, 40000, One Size, Pink
H&M leather skirt, 15000, M, Black
Reebok Zig Kinetica sneakers, 38000, 43, Blue/Gray
Abercrombie & Fitch jeans, 21000, 31, Light Blue
Reebok Classic sneakers, 34000, 42, White/Gum
H&M graphic hoodie, 12000, S, Black
Ralph Lauren chinos, 16000, 32, Khaki
The North Face windbreaker, 19000, L, Red/Gray
Nike Free Run running shoes, 47000, 44, Black/Orange
